PARK,SIZE,BOROUGH,TOTAL
SAMUEL SEABURY PLAYGROUND,0.79,MANHATTAN    ,8
SPIRIT PLAYGROUND,0.79,QUEENS       ,1
MORGAN PLAYGROUND,0.78,BRONX        ,0
MOORE PLAYGROUND,0.77,MANHATTAN    ,2
FIRST PARK,0.76,MANHATTAN    ,1
SGT. WILLIAM DOUGHERTY PLAYGROUND,0.76,BROOKLYN     ,0
ADMIRAL PARK,0.76,QUEENS       ,1
JAIME CAMPIZ PLAYGROUND,0.75,BROOKLYN     ,3
SAMUEL N. BENNERSON 2ND PLAYGROUND,0.75,MANHATTAN    ,0
PLAYGROUND SEVENTY FIVE,0.75,QUEENS       ,1
WEBSTER PLAYGROUND,0.74,BRONX        ,4
FROST PLAYGROUND,0.74,BROOKLYN     ,0
TECUMSEH PLAYGROUND,0.74,MANHATTAN    ,0
RAILROAD PARK BRONX,0.73,BRONX        ,1
NATHAN WEIDENBAUM PARK,0.73,QUEENS       ,0
BLUEBERRY PARK,0.72,STATEN ISLAND,0
CLARK PLAYGROUND,0.72,BRONX        ,7
HUNTS POINT PLAYGROUND,0.72,BRONX        ,5
GUN HILL PLAYGROUND,0.72,BRONX        ,3
BLOOMINGDALE PLAYGROUND,0.72,MANHATTAN    ,1
GALILEO PLAYGROUND,0.71,BRONX        ,1
I-AM-PARK,0.71,BRONX        ,0
UNNAMED PARK ON 17TH STREET,0.71,BROOKLYN     ,0
LAFAYETTE GARDENS PLAYGROUND,0.71,BROOKLYN     ,0
LINWOOD PLAYGROUND,0.71,BROOKLYN     ,1
ORACLE PLAYGROUND,0.7,BROOKLYN     ,0
NEWTOWN PLAYGROUND,0.7,QUEENS       ,2
MOUNT HOPE PLAYGROUND,0.7,BRONX        ,9
GARRISON PLAYGROUND,0.7,BRONX        ,0
GERTRUDE EDERLE RECREATION CENTER,0.69,MANHATTAN    ,2
SLOPE PARK,0.69,BROOKLYN     ,1
FRED SAMUEL PLAYGROUND,0.69,MANHATTAN    ,2
AUBURNDALE PLAYGROUND,0.69,QUEENS       ,1
WHITE PLAYGROUND MANHATTAN,0.68,MANHATTAN    ,9
DAWSON PLAYGROUND,0.68,BRONX        ,4
MAPES POOL,0.68,BRONX        ,0
LILLIAN D WALD PLAYGROUND,0.68,MANHATTAN    ,0
RIVER AVENUE PARKS,0.67,BRONX        ,6
HOWARD POOL,0.67,BROOKLYN     ,0
ST. NICHOLAS PLAYGROUND SOUTH,0.67,MANHATTAN    ,0
CANAL PARK,0.67,MANHATTAN    ,0
RIVERBEND PLAYGROUND,0.66,BRONX        ,0
ST. NICHOLAS PLAYGROUND NORTH,0.66,MANHATTAN    ,3
THE PEARLY GATES,0.66,BRONX        ,2
COLLEGE POINT PARK,0.66,QUEENS       ,4
AUDUBON PLAYGROUND,0.66,MANHATTAN    ,0
COURTNEY CALLENDER PLAYGROUND,0.65,MANHATTAN    ,2
BRIZZI PLAYGROUND,0.65,BROOKLYN     ,0
AUGUSTUS ST. GAUDENS PLAYGROUND,0.64,MANHATTAN    ,1
VESUVIO PLAYGROUND,0.64,MANHATTAN    ,1
SQUIBB PARK,0.63,BROOKLYN     ,0
VETERANS GROVE,0.63,QUEENS       ,1
ELTON PLAYGROUND,0.62,BROOKLYN     ,1
TWENTY-FOUR SYCAMORES PARK,0.62,MANHATTAN    ,0
EAST RIVER ESPLANADE AT E 36TH ST AND FDR,0.62,MANHATTAN    ,1
CEDAR GROVE PLAYGROUND,0.62,QUEENS       ,0
CLEOPATRA PLAYGROUND,0.62,BRONX        ,0
BEACH 59TH ST PLAYGROUND,0.62,QUEENS       ,2
BRIDGE PLAYGROUND,0.61,BRONX        ,1
HALF-NELSON PLAYGROUND,0.61,BRONX        ,2
HENRY M. JACKSON PLAYGROUND,0.61,MANHATTAN    ,0
WILLIAM F. PASSANNANTE BALLFIELD,0.61,MANHATTAN    ,2
DR. RONALD E. MCNAIR PLAYGROUND,0.6,MANHATTAN    ,5
PENN SOUTH PLAYGROUND,0.6,MANHATTAN    ,2
O'NEILL TRIANGLE,0.59,BRONX        ,0
GEORGE WALKER JR. PARK,0.59,BROOKLYN     ,0
UNDERHILL PLAYGROUND,0.59,BROOKLYN     ,0
PETER DETMOLD PARK,0.59,MANHATTAN    ,1
COBBLE HILL PARK,0.59,BROOKLYN     ,0
WRIGHT BROTHERS PLAYGROUND,0.58,MANHATTAN    ,2
MERCER PLAYGROUND,0.58,MANHATTAN    ,0
SEAN'S PLACE,0.58,QUEENS       ,1
HARVARD PLAYGROUND,0.58,QUEENS       ,0
SARSFIELD PLAYGROUND,0.58,BROOKLYN     ,0
HELL'S KITCHEN PARK,0.58,MANHATTAN    ,2
BENNINGER PLAYGROUND,0.57,QUEENS       ,1
RORY STAUNTON FIELD,0.57,QUEENS       ,1
CARMANSVILLE PLAYGROUND,0.57,MANHATTAN    ,2
SIXTEEN SYCAMORES PLAYGROUND,0.57,BROOKLYN     ,2
GALAPO PLAYGROUND,0.57,BROOKLYN     ,0
MCKINLEY PLAYGROUND,0.56,MANHATTAN    ,0
ENNIS PLAYGROUND,0.55,BROOKLYN     ,0
GUTENBERG PLAYGROUND,0.55,MANHATTAN    ,0
BLAND PLAYGROUND,0.55,QUEENS       ,9
PFC NORTON PLAYGROUND,0.55,BROOKLYN     ,0
LITTLE CLAREMONT PARK,0.55,BRONX        ,0
JUNCTION PLAYGROUND,0.54,QUEENS       ,4
WOODRUFF PLAYGROUND,0.54,BROOKLYN     ,0
ABIGAIL PLAYGROUND,0.53,BRONX        ,0
DR. GERTRUDE B. KELLY PLAYGROUND,0.53,MANHATTAN    ,5
WALD PLAYGROUND,0.53,MANHATTAN    ,0
ANDREWS GROVE,0.52,QUEENS       ,0
LAFAYETTE PLAYGROUND ON LAFAYETTE AVENUE,0.52,BROOKLYN     ,0
ANIBAL AVILES PLAYGROUND,0.52,MANHATTAN    ,0
WASHINGTON PARK BRONX,0.52,BRONX        ,1
PAT WILLIAMS PLAYGROUND,0.51,QUEENS       ,0
GREENPOINT PLAYGROUND,0.5,BROOKLYN     ,0
PIERREPONT PLAYGROUND,0.5,BROOKLYN     ,1
EPIPHANY PLAYGROUND,0.5,BROOKLYN     ,3
JOHN ADAMS PLAYGROUND,0.49,QUEENS       ,1
LEVY PLAYGROUND,0.49,STATEN ISLAND,0
CLEMENT CLARKE MOORE PARK,0.49,MANHATTAN    ,0
CHARLTON GARDEN,0.49,BRONX        ,0
THOMAS J. CUITE PARK,0.49,BROOKLYN     ,0
CHERRY CLINTON PLAYGROUND,0.48,MANHATTAN    ,1
HILTON WHITE PLAYGROUND,0.48,BRONX        ,1
MILESTONE PARK,0.48,BROOKLYN     ,2
TURTLE PLAYGROUND,0.48,QUEENS       ,0
MATTHEWS - PALMER PLAYGROUND,0.48,MANHATTAN    ,0
FAIRMOUNT PLAYGROUND,0.47,BRONX        ,2
MOTHER CABRINI PARK,0.47,BROOKLYN     ,0
VIRGINIA PLAYGROUND,0.46,BRONX        ,4
RAINBOW PLAYGROUND,0.46,BROOKLYN     ,2
TEN EYCK PLAZA,0.46,BROOKLYN     ,1
TRIBOROUGH BRIDGE PLAYGROUND C,0.46,QUEENS       ,0
TRIBOROUGH BRIDGE PLAYGROUND D,0.46,QUEENS       ,0
TRIBOROUGH BRIDGE PLAYGROUND E,0.46,QUEENS       ,0
UNDERBRIDGE DOG RUN,0.46,QUEENS       ,0
WILLIAM MCCRAY PLAYGROUND,0.46,MANHATTAN    ,1
LOUIS ARMSTRONG COMMUNITY CENTER,0.45,QUEENS       ,0
ABC PLAYGROUND,0.45,MANHATTAN    ,0
MIDDLE VILLAGE PLAYGROUND,0.45,QUEENS       ,2
YAK PLAYGROUND,0.44,BROOKLYN     ,1
HAVEMEYER PLAYGROUND,0.44,BRONX        ,1
BUTTERFLY GARDENS,0.44,BROOKLYN     ,0
PLAYGROUND ONE,0.44,MANHATTAN    ,0
GARIBALDI PLAYGROUND,0.44,BROOKLYN     ,1
MORRIS GARDEN,0.44,BRONX        ,1
MCCAFFREY PLAYGROUND,0.44,MANHATTAN    ,0
ADMIRAL TRIANGLE,0.43,BROOKLYN     ,0
HORSESHOE PLAYGROUND,0.43,BRONX        ,3
HUNTS POINT RIVERSIDE PARK,0.43,BRONX        ,2
TOMPKINSVILLE PARK,0.42,STATEN ISLAND,0
WEST 4TH STREET COURTS,0.42,MANHATTAN    ,3
MOSHOLU PLAYGROUND,0.41,BRONX        ,5
LIOTTI IKEFUGI PLAYGROUND,0.41,STATEN ISLAND,0
JOSEPH C. SAUER PARK,0.4,MANHATTAN    ,0
PLAYGROUND EIGHTY NINE LXXXIX,0.4,MANHATTAN    ,0
VAN NEST PARK,0.4,BRONX        ,2
JOSEPHINE CAMINITI PLAYGROUND,0.4,QUEENS       ,2
RODNEY PARK SOUTH,0.39,BROOKLYN     ,0
IMAGINATION PLAYGROUND,0.39,MANHATTAN    ,1
CHELSEA RECREATION CENTER,0.39,MANHATTAN    ,7
HINES PARK,0.38,BRONX        ,0
GOBLE PLAYGROUND,0.38,BRONX        ,1
GRAND PLAYGROUND,0.38,BRONX        ,0
RODNEY PARK NORTH,0.37,BROOKLYN     ,0
ST. MARY'S PARK PLAYGROUND BROOKLYN,0.37,BROOKLYN     ,0
MARCY PARK SOUTH,0.36,BROOKLYN     ,0
BLEECKER PLAYGROUND,0.36,MANHATTAN    ,1
MCLAUGHLIN PLAYGROUND,0.36,QUEENS       ,1
HARLEM ART PARK,0.35,MANHATTAN    ,2
VINCENT F. ALBANO JR. PLAYGROUND,0.35,MANHATTAN    ,1
JEROME PLAYGROUND SOUTH,0.35,BRONX        ,0
ST. MARY'S PARK BROOKLYN,0.35,BROOKLYN     ,0
WALTON PARK,0.34,BRONX        ,1
REV LENA IRONS UNITY PARK,0.34,BRONX        ,0
SUTTON PLACE PARK,0.34,MANHATTAN    ,0
KINGSBRIDGE HEIGHTS COMMUNITY CENTER,0.33,BRONX        ,0
MACARTHUR PARK,0.33,MANHATTAN    ,0
SLEDGE PLAYGROUND,0.33,BROOKLYN     ,0
BERRY PLAYGROUND,0.33,BROOKLYN     ,0
FREEDOM SQUARE PLAYGROUND,0.33,QUEENS       ,0
LONG ISLAND MEWS,0.32,QUEENS       ,0
BLACK ROCK PLAYGROUND,0.32,BRONX        ,0
HOT SPOT TOT LOT,0.32,BROOKLYN     ,0
RODNEY PLAYGROUND SOUTH,0.32,BROOKLYN     ,0
BRIDGE AND TUNNEL PARK,0.32,QUEENS       ,0
STOP & GO PLAYGROUND,0.32,BRONX        ,0
MACLAUGHLIN PLAYGROUND,0.3,BRONX        ,0
HARRY CHAPIN PLAYGROUND,0.3,BROOKLYN     ,0
ANNADALE GREEN,0.3,STATEN ISLAND,0
WEEKSVILLE PLAYGROUND,0.3,BROOKLYN     ,2
DODGER PLAYGROUND,0.29,BROOKLYN     ,0
RODNEY PLAYGROUND NORTH,0.29,BROOKLYN     ,0
ELIZABETH STROUD PLAYGROUND,0.29,BROOKLYN     ,0
HANSBOROUGH RECREATION CENTER,0.29,MANHATTAN    ,0
A.R.R.O.W. FIELD HOUSE,0.29,QUEENS       ,0
JENNIE JEROME PLAYGROUND,0.29,BRONX        ,0
PLAYGROUND 115,0.29,QUEENS       ,0
MARINERS HARBOR PLAYGROUND,0.27,STATEN ISLAND,0
YOUTH VILLAGE,0.27,BRONX        ,0
BEANSTALK PLAYGROUND,0.27,BRONX        ,0
DESALVIO PLAYGROUND,0.27,MANHATTAN    ,0
DAN ROSS PLAYGROUND,0.26,BROOKLYN     ,0
DREAM STREET PARK,0.25,MANHATTAN    ,0
SIDNEY HILLMAN PLAYGROUND,0.25,MANHATTAN    ,0
SUNSHINE PLAYGROUND,0.24,MANHATTAN    ,0
RODNEY PARK CENTER,0.24,BROOKLYN     ,1
ST. GREGORY'S PLAYGROUND,0.23,MANHATTAN    ,0
SORRENTINO RECREATION CENTER,0.23,QUEENS       ,0
UMMA PARK,0.23,BROOKLYN     ,0
WILLIAM F MOORE PARK,0.23,QUEENS       ,1
OGDEN PLIMPTON PLAYGROUND,0.23,BRONX        ,0
MARY O'CONNOR PLAYGROUND,0.23,MANHATTAN    ,0
GENE GRAY PLAYGROUND,0.23,QUEENS       ,0
DOWNING STREET PLAYGROUND,0.22,MANHATTAN    ,2
PLAYGROUND THIRTY FIVE XXXV,0.22,QUEENS       ,0
ROLF HENRY PLAYGROUND,0.21,BROOKLYN     ,1
P.S. 125 PLAYGROUND,0.21,BROOKLYN     ,0
TONY DAPOLITO RECREATION CENTER,0.21,MANHATTAN    ,3
DAVIDSON PLAYGROUND,0.21,BRONX        ,0
ASTORIA HEALTH PLAYGROUND,0.21,QUEENS       ,0
CHIARANTANO PLAYGROUND,0.21,BROOKLYN     ,0
MINETTA PLAYGROUND,0.21,MANHATTAN    ,0
CORONA MAC PARK,0.21,QUEENS       ,0
THORPE FAMILY PLAYGROUND,0.2,BRONX        ,0
SUNNERS PLAYGROUND,0.2,BROOKLYN     ,0
TUDOR GROVE PLAYGROUND,0.19,MANHATTAN    ,1
RODNEY PLAYGROUND CENTER,0.19,BROOKLYN     ,0
SEABURY PARK,0.19,BRONX        ,1
EAE J MITCHELL PARK,0.18,BRONX        ,1
PENN TRIANGLE,0.18,BROOKLYN     ,0
METROPOLITAN RECREATION CENTER,0.18,BROOKLYN     ,0
RAMON APONTE PARK,0.17,MANHATTAN    ,0
FIELD OF DREAMS PARK,0.17,BRONX        ,0
BILL BOJANGLES ROBINSON PLAYGROUND,0.17,MANHATTAN    ,0
RECREATION CENTER 54,0.17,MANHATTAN    ,1
PEARL ST PLAYGROUND,0.16,MANHATTAN    ,0
LEWIS PLAYGROUND,0.16,BROOKLYN     ,0
NORTH PACIFIC PLAYGROUND,0.16,BROOKLYN     ,0
MORRIS MESA,0.15,BRONX        ,0
PEACE PARK,0.14,BRONX        ,0
DUKE PARK,0.14,BROOKLYN     ,0
SOBEL PLAYGROUND,0.14,BROOKLYN     ,0
CAPTAIN JACOB JOSEPH PLAYGROUND,0.14,MANHATTAN    ,1
GRAND CANAL COURT,0.13,MANHATTAN    ,0
LT. FEDERICO NARVAEZ TOT LOT,0.13,BROOKLYN     ,0
WEST 186TH STREET BASKETBALL COURT,0.12,MANHATTAN    ,0
SOPHIE IRENE LOEB,0.12,MANHATTAN    ,1
BARRETTO PARK,0.12,BRONX        ,0
ABYSSINIAN TOT LOT,0.12,MANHATTAN    ,0
ALEXANDER'S ALLEY,0.11,BRONX        ,0
EAST FLATBUSH CHILDREN'S PARK,0.11,BROOKLYN     ,0
CORONA HEALTH SANCTUARY,0.1,QUEENS       ,0
MOHEGAN TRIANGLE,0.1,BRONX        ,0
PLAYGROUND OF THE AMERICAS,0.08,MANHATTAN    ,0
PRIVATE WILLIAM GRAY PARK,0.07,QUEENS       ,0
ADRIENNE'S PLAYGROUND,0,MANHATTAN    ,0
