PARK,SIZE,BOROUGH,TOTAL
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,8.6,MANHATTAN    ,3
JOHN J CARTY PARK,8.57,BROOKLYN     ,1
COFFEY PARK,8.27,BROOKLYN     ,5
BARRETT PARK,8.11,STATEN ISLAND,0
RAINEY PARK QUEENS,8.09,QUEENS       ,3
LAGUARDIA LANDING LIGHTS,8.03,QUEENS       ,1
CITY ISLAND WETLANDS,8.01,BRONX        ,1
SARA D. ROOSEVELT PARK,7.85,MANHATTAN    ,74
EWEN PARK,7.84,BRONX        ,7
HERBERT VON KING PARK,7.82,BROOKLYN     ,21
MOUNT PROSPECT PARK,7.79,BROOKLYN     ,4
RAINEY PARK BRONX,7.74,BRONX        ,20
DETECTIVE KEITH L WILLIAMS PARK,7.68,QUEENS       ,9
FLUSHING FIELDS,7.67,QUEENS       ,3
PALMER INLET,7.49,BRONX        ,0
MIDLAND FIELD,7.46,STATEN ISLAND,1
SCHMUL PARK,7.4,STATEN ISLAND,0
BRIDGE PARK BRONX,7.16,BRONX        ,0
BEACH 30TH STREET PLAYGROUND,7.12,QUEENS       ,0
BROWER PARK,7.05,BROOKLYN     ,18
JOYCE KILMER PARK,6.88,BRONX        ,39
MARIA HERNANDEZ PARK,6.87,BROOKLYN     ,45
THE HIGH LINE,6.73,MANHATTAN    ,4
FRIENDS FIELD,6.7,BROOKLYN     ,1
LINDOWER PARK,6.7,BROOKLYN     ,3
J. HOOD WRIGHT PARK,6.7,MANHATTAN    ,6
WNYC TRANSMITTER PARK,6.61,BROOKLYN     ,2
SPUYTEN DUYVIL SHOREFRONT PARK,6.6,BRONX        ,0
PARK AVENUE MALLS,6.59,MANHATTAN    ,0
WESTWOOD PARK,6.56,STATEN ISLAND,0
UNION SQUARE PARK,6.51,MANHATTAN    ,140
CONCRETE PLANT PARK,6.44,BRONX        ,9
COL. YOUNG PLAYGROUND,6.42,MANHATTAN    ,7
BRADYS POND PARK,6.4,STATEN ISLAND,0
COOPER PARK,6.4,BROOKLYN     ,4
GRAVESEND PARK,6.38,BROOKLYN     ,4
DR. CHARLES R. DREW PARK,6.34,QUEENS       ,0
TRINITY PARK,6.3,BROOKLYN     ,1
MADISON SQUARE PARK,6.23,MANHATTAN    ,30
ELMHURST PARK,6.22,QUEENS       ,4
FORT HAMILTON ATHLETIC FIELD,6.19,BROOKLYN     ,1
AMBROSINI FIELD,6.1,BRONX        ,0
CLEARVIEW PARK,6.05,QUEENS       ,0
RALPH DEMARCO PARK,6.03,QUEENS       ,0
WINGATE PARK,5.89,BROOKLYN     ,8
UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,5.85,STATEN ISLAND,0
DE WITT CLINTON PARK,5.83,MANHATTAN    ,5
UNNAMED PARK ON BOUNDARY AVENUE,5.77,STATEN ISLAND,0
VAN VOORHEES PARK,5.74,BROOKLYN     ,0
HALLETS COVE PLAYGROUND,5.7,QUEENS       ,1
MCKINLEY PARK,5.66,BROOKLYN     ,10
SOUTHERN FIELDS,5.59,QUEENS       ,0
DEVOE PARK,5.44,BRONX        ,22
ST. MICHAEL'S PLAYGROUND,5.43,QUEENS       ,7
KENNEDY PLAYGROUND,5.4,QUEENS       ,2
MAFERA PARK,5.4,QUEENS       ,5
SEAGIRT AVE WETLANDS,5.32,QUEENS       ,0
JOHN PAUL JONES PARK,5.32,BROOKLYN     ,0
WALKER PARK,5.28,STATEN ISLAND,0
OLD PLACE CREEK PARK,5.23,STATEN ISLAND,0
HOOVER - MANTON PLAYGROUNDS,5.2,QUEENS       ,0
GEN. DOUGLAS MACARTHUR PARK,5.17,STATEN ISLAND,0
GROVER CLEVELAND PLAYGROUND,5.1,QUEENS       ,4
POLICE OFFICER EDWARD BYRNE PARK,4.97,QUEENS       ,3
CYPRESS HILLS PLAYGROUND,4.95,BROOKLYN     ,1
SETH LOW PLAYGROUND/ BEALIN SQUARE,4.95,BROOKLYN     ,13
KELLY PARK,4.9,BROOKLYN     ,19
SOCRATES SCULPTURE PARK,4.89,QUEENS       ,0
BEACH 9 PLAYGROUND,4.86,QUEENS       ,0
SOUTH BEACH WETLANDS,4.79,STATEN ISLAND,0
NAPLES PLAYGROUND,4.78,STATEN ISLAND,1
RAOUL WALLENBERG FOREST,4.73,BRONX        ,0
WEST HARLEM PIERS,4.71,MANHATTAN    ,1
SPORTS PARK,4.65,STATEN ISLAND,0
WASHINGTON'S WALK,4.64,BRONX        ,2
CAMBRIA PLAYGROUND,4.64,QUEENS       ,1
MARCONI PARK,4.64,QUEENS       ,6
VALENTINO PIER,4.53,BROOKLYN     ,0
GRANITEVILLE QUARRY PARK,4.47,STATEN ISLAND,1
MONTBELLIER PARK,4.43,QUEENS       ,5
QUARRY BALLFIELDS,4.42,BRONX        ,6
RICHMAN (ECHO) PARK,4.39,BRONX        ,15
JEROME PARK,4.36,BRONX        ,0
CORLEARS HOOK PARK,4.36,MANHATTAN    ,4
"PHIL ""SCOOTER"" RIZZUTO PARK",4.35,QUEENS       ,1
ASPHALT GREEN,4.35,MANHATTAN    ,7
FABER POOL AND PARK,4.34,STATEN ISLAND,2
MACHATE CIRCLE,4.32,BROOKLYN     ,0
HAMILTON FISH PARK,4.3,MANHATTAN    ,7
TIFFANY STREET PIER,4.23,BRONX        ,0
KINGDOM POND PARK,4.22,STATEN ISLAND,0
COLUMBUS PARK BROOKLYN,4.14,BROOKLYN     ,2
STAPLETON PLAYGROUND,4.1,STATEN ISLAND,3
STERNBERG PARK,4.04,BROOKLYN     ,17
COLUCCI PLAYGROUND,4,BRONX        ,1
NORTHERLEIGH PARK,3.96,STATEN ISLAND,1
STUYVESANT SQUARE,3.93,MANHATTAN    ,6
LAST CHANCE POND PARK,3.9,STATEN ISLAND,0
FORDHAM LANDING PLAYGROUND,3.9,BRONX        ,1
CHELSEA PARK,3.9,MANHATTAN    ,19
NORTH 5TH STREET PIER AND PARK,3.88,BROOKLYN     ,1
HAGGERTY PARK,3.87,QUEENS       ,4
JACOB H. SCHIFF PLAYGROUND,3.85,MANHATTAN    ,9
GRANT PARK,3.85,BRONX        ,5
EAST ELMHURST PLAYGROUND,3.83,QUEENS       ,1
JOSEPH AUSTIN PLAYGROUND,3.81,QUEENS       ,7
UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,3.81,QUEENS       ,0
LINCOLN CENTER PLAZA,3.8,MANHATTAN    ,0
INGRAM WOODS,3.77,STATEN ISLAND,0
FARM PLAYGROUND,3.76,QUEENS       ,0
HINTON PARK,3.74,QUEENS       ,3
LOUIS PASTEUR PARK,3.67,QUEENS       ,0
WHITEY FORD FIELD,3.62,QUEENS       ,0
POMONOK PLAYGROUND,3.6,QUEENS       ,1
CLAWSON PLAYGROUND,3.59,STATEN ISLAND,0
BENNETT REST,3.57,MANHATTAN    ,0
GOVERNOR SMITH PLAYGROUND,3.56,BRONX        ,0
PAERDEGAT PARK,3.56,BROOKLYN     ,3
AMERSFORT PARK,3.56,BROOKLYN     ,3
CITY LINE PARK,3.55,BROOKLYN     ,9
BAILEY PLAYGROUND,3.53,BRONX        ,1
NAUTILUS PLAYGROUND QUEENS,3.52,QUEENS       ,0
VINMONT VETERAN PARK,3.5,BRONX        ,2
MCDONALD PLAYGROUND BROOKLYN,3.49,BROOKLYN     ,1
THE OLDE TOWNE OF FLUSHING BURIAL GROUND,3.47,QUEENS       ,1
WEGENER PARK,3.46,STATEN ISLAND,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET,3.43,QUEENS       ,0
JULIO CARBALLO FIELDS,3.43,BRONX        ,1
GRADY PLAYGROUND,3.4,BROOKLYN     ,5
CO-OP CITY FIELD,3.4,BRONX        ,0
BREININGER PARK,3.4,QUEENS       ,2
ST. MICHAEL'S PARK,3.4,QUEENS       ,5
GREENWOOD PLAYGROUND,3.39,BROOKLYN     ,2
ST. ANDREW'S PLAYGROUND,3.38,BROOKLYN     ,15
SEWARD PARK,3.36,MANHATTAN    ,10
BEHAGEN PLAYGROUND,3.35,BRONX        ,5
DUGAN PLAYGROUND,3.33,STATEN ISLAND,0
EVERGREEN PARK,3.32,QUEENS       ,4
JOHN JAY PARK,3.31,MANHATTAN    ,9
UNIVERSITY WOODS,3.31,BRONX        ,0
WATSON GLEASON PLAYGROUND,3.3,BRONX        ,18
TOTTENVILLE POOL,3.26,STATEN ISLAND,0
VITO LOCASCIO FIELD,3.26,QUEENS       ,0
CALLAHAN-KELLY PLAYGROUND,3.25,BROOKLYN     ,3
JUDGE MOSES WEINSTEIN PLAYGROUND,3.25,QUEENS       ,0
COLUMBUS PARK AT MANHATTAN,3.23,MANHATTAN    ,10
GREENCROFT PLAYGROUND,3.23,STATEN ISLAND,0
